Image size sw:;8156,404;;;;;;;;;;;;;;;;;;;Rate in MB/s;;;;;;;;;;;;;;;;;
Image size rsync:;13388,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Version;Thread Num;Measure 1;Measure 2;Measure 3;Measure 4;Measure 5;Measure 6;Measure 7;Measure 8;Measure 9;Measure 10;Measure 11;Measure 12;Measure 13;Measure 14;Measure 15;Measure 16;Std. Dev;Average;Rate 1;Rate 2;Rate 3;Rate 4;Rate 5;Rate 6;Rate 7;Rate 8;Rate 9;Rate 10;Rate 11;Rate 12;Rate 13;Rate 14;Rate 15;Rate 16;Std. Dev;Average
sw big buffer;1;290,65;288,84;290,85;293,58;297,07;295,98;293,89;292,50;285,74;293,50;292,65;296,15;289,47;295,30;287,13;291,99;3,167218569;292,2049682;28,06;28,24;28,04;27,78;27,46;27,56;27,75;27,88;28,54;27,79;27,87;27,54;28,18;27,62;28,41;27,93;0,30;27,92
sw big buffer;4;174,50;181,48;182,43;176,32;178,63;174,81;179,70;177,29;184,39;181,25;173,75;178,59;179,54;177,91;177,03;183,09;3,057834439;178,7951387;46,74;44,94;44,71;46,26;45,66;46,66;45,39;46,00;44,24;45,00;46,94;45,67;45,43;45,84;46,07;44,55;0,78;45,63
sw big buffer;8;165,61;165,79;161,49;164,50;166,98;165,90;163,76;161,32;159,46;164,20;164,83;163,08;159,60;162,17;163,11;165,77;2,211498441;163,5985971;49,25;49,20;50,51;49,58;48,85;49,16;49,81;50,56;51,15;49,67;49,48;50,01;51,11;50,30;50,01;49,20;0,68;49,87
sw big buffer;16;162,14;163,30;157,86;161,48;161,94;162,87;153,52;160,36;163,36;156,38;156,96;159,02;153,80;163,80;158,14;163,71;3,362631326;159,9142114;50,30;49,95;51,67;50,51;50,37;50,08;53,13;50,86;49,93;52,16;51,97;51,29;53,03;49,79;51,58;49,82;1,09;51,03
sw big buffer;32;108,42;157,84;160,39;161,29;163,54;157,87;160,54;164,05;163,36;163,64;161,12;160,53;161,27;155,05;161,40;163,39;12,95228583;157,7315006;75,23;51,67;50,85;50,57;49,87;51,67;50,81;49,72;49,93;49,84;50,62;50,81;50,58;52,60;50,54;49,92;5,99;52,20
sw big buffer;64;163,39;163,22;161,09;161,38;159,49;164,14;156,54;159,04;162,36;164,65;160,41;161,40;153,10;166,62;170,66;164,32;3,914251867;161,9880989;49,92;49,97;50,63;50,54;51,14;49,69;52,10;51,29;50,24;49,54;50,85;50,54;53,27;48,95;47,79;49,64;1,22;50,38
sw big buffer;128;155,21;156,00;158,62;165,24;159,81;164,76;161,74;160,61;162,80;158,53;156,42;162,70;161,11;162,70;156,78;164,00;3,124724747;160,4388667;52,55;52,28;51,42;49,36;51,04;49,51;50,43;50,78;50,10;51,45;52,15;50,13;50,63;50,13;52,02;49,73;0,99;50,86
sw small buffer;1;310,68;309,93;305,80;306,86;312,86;321,68;312,94;312,52;304,02;318,03;314,04;308,80;319,31;309,16;310,18;316,38;4,775797152;312,0755391;26,25;26,32;26,67;26,58;26,07;25,36;26,06;26,10;26,83;25,65;25,97;26,41;25,54;26,38;26,30;25,78;0,40;26,14
sw small buffer;4;189,63;184,52;184,11;181,40;181,13;183,80;189,52;185,61;189,16;180,65;184,25;188,04;191,13;185,81;194,04;182,94;3,769358024;185,9837607;43,01;44,20;44,30;44,96;45,03;44,38;43,04;43,94;43,12;45,15;44,27;43,38;42,67;43,90;42,03;44,58;0,88;43,87
sw small buffer;8;166,42;166,41;172,05;164,15;175,70;171,40;165,31;167,12;164,98;170,01;168,46;164,46;165,93;168,05;169,36;171,33;3,140005566;168,1963454;49,01;49,02;47,41;49,69;46,42;47,59;49,34;48,81;49,44;47,97;48,42;49,59;49,16;48,54;48,16;47,61;0,89;48,51
sw small buffer;16;160,49;163,52;166,25;167,14;168,98;165,73;162,42;159,76;167,47;164,18;168,82;160,79;160,51;166,11;165,84;166,94;2,9825712;164,6848156;50,82;49,88;49,06;48,80;48,27;49,21;50,22;51,05;48,70;49,68;48,32;50,73;50,82;49,10;49,18;48,86;0,90;49,54
sw small buffer;32;164,78;166,35;161,97;163,69;164,38;165,80;169,14;159,28;163,86;167,81;171,28;164,18;159,62;162,08;165,20;165,78;3,058851457;164,7002382;49,50;49,03;50,36;49,83;49,62;49,19;48,22;51,21;49,78;48,60;47,62;49,68;51,10;50,32;49,37;49,20;0,92;49,54
sw small buffer;64;161,17;156,79;159,62;162,04;159,16;160,60;161,99;154,45;160,83;159,12;161,27;163,66;157,79;157,57;161,78;158,15;2,299744388;159,7490463;50,61;52,02;51,10;50,34;51,25;50,79;50,35;52,81;50,71;51,26;50,58;49,84;51,69;51,76;50,42;51,57;0,74;51,07
sw small buffer;128;159,92;164,88;157,08;160,37;161,77;163,91;162,17;163,63;161,34;158,89;160,02;147,86;155,61;161,79;155,77;156,43;4,090711385;159,4659263;51,00;49,47;51,92;50,86;50,42;49,76;50,29;49,85;50,55;51,33;50,97;55,16;52,41;50,41;52,36;52,14;1,36;51,18
rsync;---;302,3903226;369,8011804;367,5843814;410,2551442;424,9365565;421,9439136;411,8359323;431,2734952;420,7278591;423,3928294;415,2088927;418,3114871;421,3557388;416,0658947;427,7538607;418,7194553;32,16247596;406,347309;44,28;36,20;36,42;32,63;31,51;31,73;32,51;31,04;31,82;31,62;32,25;32,01;31,78;32,18;31,30;31,98;3,24;33,20
